id|nombre|fuente|url|tipo|subtipo|periodo|actualizacion_sedesol|metadata
ciclo|Ciclo|Secretaría de Hacienda y Crédito Público|http://transparenciapresupuestaria.gob.mx/|Presupuesto Egresos||2017 Primer Trimestre|2017-07-25 22:06:46.787907|Determina el ciclo presupuestario de referencia. Esta información está disponible de 2008 a 2017.
id_ramo|Ramo|Secretaría de Hacienda y Crédito Público|http://transparenciapresupuestaria.gob.mx/|Presupuesto Egresos||2017 Primer Trimestre|2017-07-25 22:06:46.787907|Clave del Ramo de acuerdo con la estructura programática del Presupuesto de Egresos de la Federación vigente para cada ciclo (consulta los ramos en http://www.transparenciapresupuestaria.gob.mx/work/models/PTP/DatosAbiertos/Metadatos/catalogos_presupuestarios_2017.xlsx). Esta información está disponible de 2008 a 2017. De 2008 a 2012 no incluye los ramos relativos a Entidades de Control Directo (50 – Instituto Mexicano del Seguro Social y 51 – Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado) y Empresas Productivas del Estado (52 – Petróleos Mexicanos y 53 – Comisión Federal de Electricidad) ya que no se cuenta con la información consolidada para dichos años. 
desc_ramo|Descripción de Ramo|Secretaría de Hacienda y Crédito Público|http://transparenciapresupuestaria.gob.mx/|Presupuesto Egresos||2017 Primer Trimestre|2017-07-25 22:06:46.787907|Descripción del Ramo de acuerdo con la estructura programática del Presupuesto de Egresos de la Federación  vigente para cada ciclo (consulta los ramos en http://www.transparenciapresupuestaria.gob.mx/work/models/PTP/DatosAbiertos/Metadatos/catalogos_presupuestarios_2017.xlsx). Esta información está disponible de 2008 a 2017.
id_ur|Unidad Responsable|Secretaría de Hacienda y Crédito Público|http://transparenciapresupuestaria.gob.mx/|Presupuesto Egresos||2017 Primer Trimestre|2017-07-25 22:06:46.787907|Clave para identificar de manera única a cada dependencia, institución, entidad o empresa productiva del estado, que ejecuta directamente el gasto. Esta información está disponible de 2008 a 2017. 
desc_ur|Descripción de Unidad Responsable|Secretaría de Hacienda y Crédito Público|http://transparenciapresupuestaria.gob.mx/|Presupuesto Egresos||2017 Primer Trimestre|2017-07-25 22:06:46.787907|Descripción de la clave contenida en la columna “Unidad Responsable”, que se refiere al ejecutor directo del gasto. Esta información está disponible de 2008 a 2017.
gpo_funcional|Grupo Funcional|Secretaría de Hacienda y Crédito Público|http://transparenciapresupuestaria.gob.mx/|Presupuesto Egresos||2017 Primer Trimestre|2017-07-25 22:06:46.787907|Clave que corresponde al primer nivel (o dígito) de la Clasificación Funcional del Gasto que permite identificar las actividades que realiza el Estado para cumplir con sus fines de: Desarrollo Social, Desarrollo Económico y Gobierno. Esta información está disponible de 2008 a 2017.
desc_gpo_funcional|Descripción de Grupo Funcional|Secretaría de Hacienda y Crédito Público|http://transparenciapresupuestaria.gob.mx/|Presupuesto Egresos||2017 Primer Trimestre|2017-07-25 22:06:46.787907|Descripción de la clave contenida en la columna “Grupo Funcional”, que se refiere al primer nivel (o dígito) de la Clasificación Funcional del Gasto que permite identificar las actividades que realiza el Estado para cumplir con sus fines de: Desarrollo Social, Desarrollo Económico y Gobierno. Esta información está disponible de 2008 a 2017.
id_funcion|Función|Secretaría de Hacienda y Crédito Público|http://transparenciapresupuestaria.gob.mx/|Presupuesto Egresos||2017 Primer Trimestre|2017-07-25 22:06:46.787907|Clave que corresponde al segundo nivel (o dígito) de la Clasificación Funcional del Gasto que permite identificar las acciones que realizan las Unidades Responsables para cumplir con los ordenamientos legales, de acuerdo con cada uno de los Grupos Funcionales. Esta información está disponible de 2008 a 2017.
desc_funcion|Descripción de Función|Secretaría de Hacienda y Crédito Público|http://transparenciapresupuestaria.gob.mx/|Presupuesto Egresos||2017 Primer Trimestre|2017-07-25 22:06:46.787907|Descripción de la clave contenida en la columna “Función”, que se refiere al segundo nivel (o dígito) de la Clasificación Funcional del Gasto que permite identificar las acciones que realizan las Unidades Responsables para cumplir con los ordenamientos legales, de acuerdo con cada uno de los Grupos Funcionales. Esta información está disponible de 2008 a 2017.
id_subfuncion|Subfunción|Secretaría de Hacienda y Crédito Público|http://transparenciapresupuestaria.gob.mx/|Presupuesto Egresos||2017 Primer Trimestre|2017-07-25 22:06:46.787907|Clave que corresponde al tercer nivel (o dígito) de la clasificación funcional del gasto que identifica en forma más precisa las actividades que realizan las dependencias y entidades al interior de una función. Esta información está disponible de 2008 a 2017. 
